1,70,Austrian Grand Prix,2020-07-05,13:10:00,https://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2,1,2
2,70,Styrian Grand Prix,2020-07-12,13:10:00,https://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,1,1,2
3,11,Hungarian Grand Prix,2020-07-19,13:10:00,https://en.wikipedia.org/wiki/2020_Hungarian_Grand_Prix,1,1,2
4,9,British Grand Prix,2020-08-02,13:10:00,https://en.wikipedia.org/wiki/2020_British_Grand_Prix,1,1,2
5,9,70th Anniversary Grand Prix,2020-08-09,13:10:00,https://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,2,1,5
6,4,Spanish Grand Prix,2020-08-16,13:10:00,https://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,1,1,2
7,13,Belgian Grand Prix,2020-08-30,13:10:00,https://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,1,3,2
8,14,Italian Grand Prix,2020-09-06,13:10:00,https://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,1,2,2
9,76,Tuscan Grand Prix,2020-09-13,13:10:00,https://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,1,2,2
10,71,Russian Grand Prix,2020-09-27,11:10:00,https://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,2,1,2
11,20,Eifel Grand Prix,2020-10-11,13:10:00,https://en.wikipedia.org/wiki/2020_Eifel_Grand_Prix,2,1,2
12,75,Portuguese Grand Prix,2020-10-25,12:10:00,https://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix,2,1,2
13,21,Emilia Romagna Grand Prix,2020-11-01,12:10:00,https://en.wikipedia.org/wiki/2020_Emilia_Romagna_Grand_Prix,2,11,5
14,5,Turkish Grand Prix,2020-11-15,10:10:00,https://en.wikipedia.org/wiki/2020_Turkish_Grand_Prix,10,1,2
15,3,Bahrain Grand Prix,2020-11-29,14:10:00,https://en.wikipedia.org/wiki/2020_Bahrain_Grand_Prix,2,4,2
16,3,Sakhir Grand Prix,2020-12-06,17:10:00,https://en.wikipedia.org/wiki/2020_Sakhir_Grand_Prix,2,1,2
17,24,Abu Dhabi Grand Prix,2020-12-13,13:10:00,https://en.wikipedia.org/wiki/2020_Abu_Dhabi_Grand_Prix,2,1,2
